number,state,loss,mamba_expand,depth_tier,d_state,ska_n_heads,ska_rank,n_ska_layers,placement,ska_ridge,ska_layerscale_init,norm_clip_multiplier,gamma_value,ska_power_K,beta_policy,learning_rate,weight_decay,warmup_ratio,grad_clip,n_layers,d_inner,param_count,ska_delta,per_device_batch_size,tokens_per_sec,worker_id,peak_memory_gib,failure_kind
329,COMPLETE,4.282368779182434,3,lean,24,1,24,4,midlate,0.016614930680019468,0.01080495292832106,0.75,0.9,1,one,0.004947436930047811,0.15,0.04,1.0,10,192,2884872,0.042455315589904785,24,454813.24564977834,0,4.49254035949707,
330,COMPLETE,4.321805655956268,3,lean,24,1,16,3,midlate,0.010012047782613897,0.01891146110640834,1.0,0.9,1,head_scalar,0.004267705170711465,0.15,0.04,1.0,10,192,2870411,0.01674795150756836,24,556692.9503060809,4,4.492379188537598,
331,COMPLETE,4.2613444328308105,3,lean,24,8,24,3,late,0.00744872551863107,0.04002906455905261,1.0,0.9,1,head_scalar,0.005209378086605932,0.15,0.04,1.0,10,192,2938016,0.052830278873443604,24,310797.8505216185,3,4.493134498596191,
332,COMPLETE,4.285114645957947,2,full,24,1,32,2,late,0.02846225204430948,0.147829829603445,1.25,0.9,1,learned,0.005062069448365291,0.15,0.01,1.0,13,128,2933418,0.11658269166946411,24,511294.217658832,2,4.493119716644287,
333,COMPLETE,4.244046092033386,2,full,24,4,32,4,midlate,0.01733573506045825,0.02924333753497999,1.25,1.0,1,linear,0.0045686805754856195,0.15,0.06,1.0,13,128,3008312,0.15548038482666016,24,290965.9989584083,6,4.4939703941345215,
334,COMPLETE,4.2823410630226135,2,full,24,2,32,4,midlate,0.026871045135699722,0.08390185353018988,1.0,0.9,1,linear,0.004377941291756829,0.15,0.06,1.0,13,128,2975024,0.15733498334884644,24,305452.47820211935,7,4.493598461151123,
335,COMPLETE,4.29074901342392,1,full,24,1,32,2,midlate,0.02284544452388888,0.10993241344615329,1.25,0.9,1,learned,0.005154461323197119,0.15,0.06,1.0,16,64,2924930,0.1341533660888672,24,430134.31410935166,1,4.493066787719727,
336,COMPLETE,4.240322232246399,2,full,8,2,32,6,even,0.02894971465509379,0.04409067670783506,0.8164965809277261,0.9,1,linear,0.005345423945416058,0.0,0.04,0.5,13,128,2979604,0.15272819995880127,24,287620.65232458856,4,4.493669509887695,
337,COMPLETE,4.315638840198517,3,lean,24,1,8,4,midlate,0.021148344500957636,0.010176227566363456,0.75,1.05,1,one,0.004668418437632528,0.15,0.04,1.0,10,192,2876680,0.015087723731994629,24,450693.4037448762,0,4.492448806762695,
338,COMPLETE,4.299483478069305,2,full,24,1,32,3,late,0.021819480729152317,0.1419393821527526,1.25,0.9,1,learned,0.004430748908920598,0.15,0.01,1.0,13,128,2945899,0.12405902147293091,24,446044.03400311124,2,4.49326753616333,
339,COMPLETE,4.289250671863556,2,full,24,2,32,6,midlate,0.021390430914761192,0.1593419792990986,1.25,0.9,2,linear,0.004908018450927079,0.1,0.06,1.0,13,128,3008308,0.051217496395111084,24,287317.00955570466,5,4.493985652923584,
340,COMPLETE,4.317090272903442,3,lean,24,2,24,4,midlate,0.018481888839164167,0.005184943782377832,0.75,0.9,1,one,0.004104102707895571,0.15,0.04,1.0,10,192,2897160,0.05471158027648926,24,404811.6523808589,1,4.492677688598633,
341,COMPLETE,4.21490603685379,2,full,24,2,32,4,late,0.017574374927253875,0.039752264942682865,1.25,0.9,1,linear,0.005462096749810314,0.15,0.06,1.0,13,128,2975024,0.16395962238311768,24,373146.8855464211,0,4.493598461151123,
342,COMPLETE,4.299910247325897,2,full,24,2,32,4,midlate,0.029829791464774786,0.2618887552575599,1.0,0.9,1,learned,0.003922322971726019,0.15,0.06,1.0,13,128,2975024,0.14760929346084595,24,351511.06955934607,7,4.493598461151123,
343,COMPLETE,4.29526549577713,2,full,24,2,16,6,midlate,0.009061090871396374,0.050012222860275624,1.0,0.9,1,linear,0.004522206826364137,0.15,0.06,1.0,13,128,2983732,0.07984310388565063,24,356643.09073656803,2,4.494687557220459,
