trial,failure_kind,recovered,loss,ska_delta,mamba_expand,depth_tier,d_state,ska_n_heads,ska_rank,n_ska_layers,placement,ska_ridge,ska_layerscale_init,norm_clip_multiplier,gamma_value,ska_power_K,beta_policy,learning_rate,weight_decay,warmup_ratio,grad_clip
728,quota,True,4.205892026424408,0.19286185503005981,3,full,24,4,32,6,midlate,0.003378230594012361,0.021222416637506923,1.0,0.9,1,linear,0.005190861809778136,0.15,0.06,1.0
749,quota,True,4.209187269210815,0.14015734195709229,3,full,24,4,32,2,midlate,0.0062524211015883985,0.01720773123222297,1.25,0.9,1,linear,0.005028646948046559,0.15,0.06,1.0
792,oom,True,4.167534172534943,0.19581979513168335,3,full,24,8,32,6,midlate,0.0072619330520970965,0.20812280480028122,0.8164965809277261,0.9,1,linear,0.005395719737023587,0.15,0.06,1.0
1229,quota,True,4.238719463348389,0.16931474208831787,3,lean,32,8,32,3,midlate,0.00484554364305827,0.09101734212995648,0.75,0.9,1,linear,0.004326013159842014,0.1,0.06,1.0
1248,quota,False,,,3,lean,24,2,32,6,late,0.01958991680160283,0.09357279977533058,1.25,1.0,1,linear,0.004816569476794489,0.05,0.02,1.0
1269,oom,True,4.305184006690979,0.11059451103210449,3,full,32,2,24,6,late,0.005890168090914604,0.044840737506538955,1.25,0.9,1,linear,0.0035192095825428956,0.15,0.06,1.0
1279,quota,False,,,,,,,,,,,,,,,,,,,
1294,quota,True,4.252347350120544,0.14045894145965576,3,full,32,2,32,4,late,0.008936494923629999,0.0410768921250791,0.8164965809277261,1.0,1,learned,0.0040712699097627935,0.1,0.06,1.0
1360,oom,True,4.230375528335571,0.168690025806427,3,lean,32,8,32,6,late,0.003988155691528973,0.01973018872917772,0.75,0.9,1,linear,0.004287007046588426,0.15,0.06,1.0
1549,oom,True,4.192438840866089,0.18399596214294434,3,full,32,8,32,6,late,0.008839408505110117,0.04485462164011533,1.25,1.05,1,linear,0.0053012456674897115,0.15,0.06,1.0
1752,oom,True,4.215070009231567,0.19711124897003174,3,lean,8,8,32,6,late,0.01708747518177904,0.1808221412460047,0.8164965809277261,0.9,1,linear,0.004568943504477744,0.15,0.06,0.5
1860,oom,True,4.2154247760772705,0.19869261980056763,3,full,32,8,32,6,late,0.02049242588507568,0.22734606986138653,0.8164965809277261,1.05,1,linear,0.004456586605412032,0.05,0.06,0.5
1939,quota,True,4.190885365009308,0.1613985300064087,3,full,32,2,32,6,late,0.009129271069349748,0.021584622211395937,1.0,1.0,1,linear,0.004820916749998283,0.1,0.06,1.0
1971,oom,True,4.202202558517456,0.19032526016235352,3,full,32,8,32,6,late,0.011500643201620026,0.09050167969428888,0.8164965809277261,1.05,1,linear,0.004690415098532674,0.1,0.06,1.0
546,oom,True,4.1991772055625916,0.1789458990097046,3,full,24,8,32,6,late,0.02041266782259893,0.014718243439489022,0.75,0.9,1,linear,0.004862376771968741,0.15,0.06,1.0
582,oom,True,4.2168609499931335,0.15012246370315552,3,full,24,4,32,4,late,0.017356984360582698,0.005672995246891785,0.75,1.05,1,linear,0.0045243279563178355,0.15,0.06,0.5
602,quota,True,4.258105278015137,0.13691622018814087,3,full,24,4,32,4,even,0.0032820424310754464,0.012854884781064904,1.25,1.05,1,linear,0.004008403859378675,0.15,0.06,1.0
638,oom,True,4.224878132343292,0.1484546661376953,3,full,24,8,32,6,even,0.0036775159164664454,0.05691246043279237,0.75,1.05,1,linear,0.004853154018842616,0.15,0.04,1.0
730,oom,True,4.246222913265228,0.08392989635467529,3,full,16,1,32,4,late,0.008604849177957138,0.026056764121161678,0.75,0.9,1,head_scalar,0.005393741829077484,0.05,0.06,0.5
751,oom,True,4.184573233127594,0.14823424816131592,3,full,16,1,32,4,late,0.00636573473936164,0.1311984504461669,1.0,0.9,1,learned,0.0054031972221000035,0.15,0.06,1.0
815,oom,True,4.328957736492157,0.06011676788330078,3,full,16,4,32,4,midlate,0.004835864224337773,0.10099988397696343,0.75,0.9,1,one,0.0037405429010531647,0.15,0.04,1.0
